Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000033852,Gm28042,0.0004618711307625906,-0.42189263509508024,1.0,0.0,0.42189263509508024,1.0
ENSMUSG00000027293,Ehd4,0.236939890081209,-0.16446093549066232,0.6676428246150025,0.2650354190959526,0.16446093549066232,0.6676428246150025
ENSMUSG00000050211,Pla2g4e,0.10438287555234549,1.4504595418089594,0.00021260737670983674,0.037154498004105495,-1.4504595418089594,0.00021260737670983674
ENSMUSG00000070719,Pla2g4d,0.0013856133922877719,0.5781073649049198,0.7582458360578583,0.0,-0.5781073649049198,0.7582458360578583
ENSMUSG00000046971,Pla2g4f,0.0,-2.4218926350950802,0.4635221295499114,0.0012384832668035166,2.4218926350950802,0.4635221295499114
ENSMUSG00000027291,Vps39,0.9246660037867065,0.47459170816100293,0.12798580421493866,0.6650655142734884,-0.47459170816100293,0.12798580421493866
ENSMUSG00000033808,Tmem87a,0.16904483385910818,-0.140661121576946,0.7581392181869416,0.18577249002052748,0.140661121576946,0.7581392181869416
ENSMUSG00000062646,Ganc,0.13070953000581315,-0.37017759855092525,0.3164887882317066,0.16843372428527825,0.37017759855092525,0.3164887882317066
ENSMUSG00000079110,Capn3,0.16211676689766932,0.28265148137874885,0.5373658506453116,0.1325177095479763,-0.28265148137874885,0.5373658506453116
ENSMUSG00000027288,Zfp106,1.8904385382112834,-0.049218900430040624,0.9436914079887152,1.9568035615495563,0.049218900430040624,0.9436914079887152
ENSMUSG00000027287,Snap23,0.13486637018267647,-1.0409169718898699,0.0002532834231802637,0.2774202517639877,1.0409169718898699,0.0002532834231802637
ENSMUSG00000027286,Lrrc57,0.5177575375848641,0.3349248941667876,0.34310838947102357,0.40993796131196397,-0.3349248941667876,0.34310838947102357
ENSMUSG00000027285,Haus2,0.530228058115454,0.12588494529242644,0.8038798550997974,0.4854854405869785,-0.12588494529242644,0.8038798550997974
ENSMUSG00000033705,Stard9,0.07436125205277709,-0.8893975542680601,0.007846781101768565,0.13747164261519035,0.8893975542680601,0.007846781101768565
ENSMUSG00000027284,Cdan1,0.21523194693536724,0.41196310307713135,0.2693227285389506,0.16100282468445715,-0.41196310307713135,0.2693227285389506
ENSMUSG00000090100,Ttbk2,1.253518248889671,0.09457957057553376,0.8517989552207628,1.1740821369297338,-0.09457957057553376,0.8517989552207628
ENSMUSG00000027272,Ubr1,0.6286066089678859,0.18226343085938645,0.6650073881717712,0.5536020202611719,-0.18226343085938645,0.6650073881717712
ENSMUSG00000054484,Tmem62,0.5717964598840872,0.11835821681968284,0.8183797015467386,0.5263553883914945,-0.11835821681968284,0.8183797015467386
ENSMUSG00000023572,Ccndbp1,1.5888366898233117,0.11604819785627929,0.7913769308027772,1.4663641878953637,-0.11604819785627929,0.7913769308026651
ENSMUSG00000023216,Epb42,0.006928066961438859,-0.42189263509508024,0.8197859243596233,0.008669382867624616,0.42189263509508024,0.8197859243596233
ENSMUSG00000074890,Lcmt2,0.18890529248189958,0.08766246296805313,0.9202931365550544,0.17710310715290287,-0.08766246296805313,0.9202931365550544
ENSMUSG00000027259,Adal,0.22585498294290682,0.3348362138925558,0.39332373148798566,0.1783415904197064,-0.3348362138925558,0.39332373148798566
ENSMUSG00000050619,Zscan29,0.06650944282981305,-0.4318081039601629,0.31370507727549735,0.0891707952098532,0.4318081039601629,0.31370507727549735
ENSMUSG00000027263,Tubgcp4,0.31869108022618753,0.2490980328486989,0.5309593267260974,0.2675123856295596,-0.2490980328486989,0.5309593267260974
ENSMUSG00000043909,Trp53bp1,1.2068692646826493,0.572598786082269,0.05362573659707524,0.8112065397563034,-0.572598786082269,0.05362573659707524
ENSMUSG00000027254,Map1a,9.012953245701194,0.1546666518693267,0.6821453294656951,8.102157531428606,-0.1546666518693267,0.6821453294656951
ENSMUSG00000087704,Gm14978,0.0004618711307625906,-0.42189263509508024,1.0,0.0,0.42189263509508024,1.0
ENSMUSG00000033526,Ppip5k1,1.0105740341085483,0.5893552162815041,0.047647389824437746,0.671257930607506,-0.5893552162815041,0.047647389824437746
ENSMUSG00000000308,Ckmt1,5.061183850896468,0.7909215838105617,0.0032775020203896234,2.92653595945671,-0.7909215838105617,0.0032775020203896703
ENSMUSG00000033498,Strc,0.0032330979153381346,0.5781073649049198,0.8586824437519384,0.0012384832668035166,-0.5781073649049198,0.8586824437519384
ENSMUSG00000033486,Catsper2,0.04895833986083461,-0.10669040339603164,0.9213636458357086,0.0520162972057477,0.10669040339603164,0.9213636458357086
ENSMUSG00000027248,Pdia3,3.6580193556397176,-0.07080332627012886,0.8774050711010287,3.8442520601581154,0.07080332627012886,0.877405071101141
ENSMUSG00000027246,Ell3,0.0009237422615251813,0.16306986562607584,1.0,0.0,-0.16306986562607584,1.0
ENSMUSG00000046110,Serinc4,0.005080582438388497,0.5781073649049198,0.7414001474478368,0.0024769665336070333,-0.5781073649049198,0.7414001474478368
ENSMUSG00000074884,Serf2,11.93613563229763,-0.11915121974229814,0.7469401134858821,12.973112219766836,0.11915121974229814,0.7469401134858821
ENSMUSG00000027245,Hypk,2.3407628907048093,0.47302296668918653,0.10717667863304202,1.6868142093863896,-0.47302296668918653,0.10717667863302222
ENSMUSG00000048222,Mfap1b,1.1971699709366348,0.24432158761253062,0.49585723745973276,1.0106023457116695,-0.24432158761253062,0.49585723745973276
ENSMUSG00000068479,Mfap1a,0.524685604546303,0.17070319052850302,0.6909708492714528,0.46566970831812227,-0.17070319052850302,0.6909708492714528
ENSMUSG00000027242,Wdr76,0.028174138976518028,0.4448408340414556,0.5201097974126376,0.019815732268856266,-0.4448408340414556,0.5201097974126376
ENSMUSG00000027238,Frmd5,0.33624218319516597,-0.5810026150343903,0.03637137141719976,0.5028242063222278,0.5810026150343903,0.03637137141719976
ENSMUSG00000086913,Gm14019,0.006004324699913678,0.06353419207516087,1.0,0.0049539330672140666,-0.06353419207516087,1.0
ENSMUSG00000060227,Casc4,1.5384927365701895,0.39610953116203196,0.19670844383907926,1.1691282038625197,-0.39610953116203196,0.19670844383909628
ENSMUSG00000074881,Mageb3,0.0018474845230503625,0.9000354597922815,0.765331976787394,0.0,-0.9000354597922815,0.765331976787394
ENSMUSG00000033411,Ctdspl2,0.2106132356277413,0.33734212291215826,0.39258534785504196,0.16595675775167124,-0.33734212291215826,0.39258534785504196
ENSMUSG00000027236,Eif3j1,0.9121954832561164,-0.1547638152882076,0.6460691589911186,1.0155562787788837,0.1547638152882076,0.6460691589911186
ENSMUSG00000033396,Spg11,0.1829009677819859,-0.3045972762361653,0.45129048622567136,0.22540395455824003,0.3045972762361653,0.45129048622567136
ENSMUSG00000027233,Patl2,0.0004618711307625906,-2.743820729982443,0.15255408404196585,0.0049539330672140666,2.743820729982443,0.15255408404196585
ENSMUSG00000060802,B2m,4.0238212912036895,-0.6824964938976912,0.006190781931476749,6.46240568618075,0.6824964938976912,0.0061907819314772775
ENSMUSG00000033368,Trim69,0.0009237422615251813,0.16306986562607584,1.0,0.0,-0.16306986562607584,1.0
ENSMUSG00000027227,Sord,0.36303070877939625,-0.0916916565202126,0.8279474923621921,0.3864067792426972,0.0916916565202126,0.8279474923621921
ENSMUSG00000068452,Duox2,0.0009237422615251813,0.16306986562607584,1.0,0.0,-0.16306986562607584,1.0
ENSMUSG00000027224,Duoxa1,0.0009237422615251813,0.16306986562607584,1.0,0.0,-0.16306986562607584,1.0
ENSMUSG00000033268,Duox1,0.0023093556538129533,1.1630698656260758,0.5378757757006937,0.0,-1.1630698656260758,0.5378757757006937
ENSMUSG00000033256,Shf,0.864160885656807,0.8337622403731156,0.003783394634736621,0.484246957320175,-0.8337622403731156,0.003783394634736621
ENSMUSG00000027219,Slc28a2,0.004156840176863316,-0.4218926350950811,0.9131781947471059,0.0049539330672140666,0.4218926350950811,0.9131781947471059
ENSMUSG00000079071,Gm14085,0.0013856133922877719,-0.42189263509508024,1.0,0.0012384832668035166,0.42189263509508024,1.0
ENSMUSG00000027199,Gatm,1.4133256601335273,-1.9623431829100484,1.311535213708887e-18,5.512489020542453,1.9623431829100484,1.311535213708887e-18
ENSMUSG00000033213,AA467197,0.013394262792115127,0.16306986562607495,0.8934729852323778,0.01114634940123165,-0.16306986562607495,0.8934729852323778
ENSMUSG00000005802,Slc30a4,0.723290190774217,0.5771869852622913,0.060139504350963796,0.484246957320175,-0.5771869852622913,0.060139504350963796
ENSMUSG00000085633,Bloc1s6os,0.0004618711307625906,-1.4218926350950802,0.6650188679760387,0.0012384832668035166,1.4218926350950802,0.6650188679760387
ENSMUSG00000005804,Bloc1s6,0.8198212571035983,0.8372478546342221,0.0032834475176006872,0.45823880871730116,-0.8372478546342221,0.0032834475176006872
ENSMUSG00000005803,Sqor,0.09514545293709367,-1.2122214548600114,2.1319705853973056e-05,0.22045002149102597,1.2122214548600114,2.1319705853973056e-05
ENSMUSG00000027200,Sema6d,0.7274470309510802,-0.8360144281921891,0.0007925427332901575,1.299168946876889,0.8360144281921891,0.0007925427332901575
ENSMUSG00000085496,4930517E11Rik,0.0004618711307625906,-0.42189263509508024,1.0,0.0,0.42189263509508024,1.0
ENSMUSG00000035183,Slc24a5,0.07436125205277709,-0.38582338038755903,0.3614199007880769,0.0966016948106743,0.38582338038755903,0.3614199007880769
