Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051805,A530095I07Rik,0.0013502035929291183,-1.9902714073213392,0.0850466948234771,0.009304861792424806,2.0511127840274126,0.10019736833510791,0.003816422734611597,0.22195462349033068,1.0
ENSMUSG00000021594,Srd5a1,0.19915502995704495,-0.9706426005724071,8.168223705940827e-05,0.2987894508900854,0.02645072979314378,1.0,0.5610141419879048,1.234232953268768,2.600638734324439e-05
ENSMUSG00000113299,Gm35618,0.004050610778787355,0.009728592678660775,1.0,0.00620324119494987,1.0511127840274126,0.6155495691636237,0.0,-1.478485094650761,0.47092345755115145
ENSMUSG00000113324,Gm48819,0.0,-1.9902714073213392,0.5390199554866325,0.001033873532491645,0.46615028330625563,1.0,0.003816422734611597,2.8069171242114876,0.2644088650618549
ENSMUSG00000052981,Ube2ql1,4.725037473455449,0.9369857650142903,1.1771977502097708e-05,2.825576364299666,-0.4882843174573057,0.11845833948083939,1.8070761648385913,-1.1379709673345457,0.0005312674013584113
ENSMUSG00000021598,Med10,1.2320607785478206,0.502124974663744,0.0396400359281496,0.8663860202279985,-0.39433866547819624,0.29738733461881584,0.8758690175933616,-0.3119336926365557,0.5078443717387975
ENSMUSG00000097033,Gm26819,0.004725712575251915,1.0097285926786608,0.4427423317870543,0.00206774706498329,-0.5338497166937444,0.871199182427362,0.0019082113673057986,-0.09997347139703106,1.0
ENSMUSG00000113074,Gm3772,0.0,-0.9902714073213392,1.0,0.001033873532491645,2.0511127840274117,0.6870859899057957,0.0,1.2219546234903316,1.0
ENSMUSG00000034525,Ice1,0.8911343713332182,0.3272947944749265,0.23638573984674807,0.7981503670835499,-0.005614303226668782,1.0,0.5476566624167643,-0.6394769713230656,0.09524430378346206
ENSMUSG00000113334,D030007L05Rik,0.0006751017964645591,1.0097285926786608,0.7006559463413432,0.0,0.051112784027411706,1.0,0.0,1.2219546234903316,1.0
ENSMUSG00000113794,Gm36607,0.0006751017964645591,1.0097285926786608,0.7006559463413432,0.0,0.051112784027411706,1.0,0.0,1.2219546234903316,1.0
ENSMUSG00000049538,Adamts16,0.03172978443383428,-0.16019640876365138,0.8457520247945542,0.044456561897140735,0.6525634075371372,0.3038449953150879,0.019082113673057986,-0.8264083980710684,0.2500074737531597
ENSMUSG00000113771,Gm36529,0.03443019161969252,0.8521873156921806,0.08012238488566498,0.02481296477979948,-0.11238594825546677,1.0,0.007632845469223194,-1.704044795065892,0.033268476211257995
ENSMUSG00000021600,8030423J24Rik,0.0,-0.9902714073213392,1.0,0.001033873532491645,2.0511127840274117,0.6870859899057957,0.0,1.2219546234903316,1.0
ENSMUSG00000060969,Irx1,0.006075916168181032,-3.8971620029298584,2.9100207042694795e-19,0.12509869743148905,2.7339226081467127,6.229110903126501e-15,0.05342991828456236,0.0465126170804524,1.0
ENSMUSG00000093587,Gm20554,0.0,-1.5752339080424953,0.7006559463413432,0.00206774706498329,2.636075284748568,0.3867668811188804,0.0,0.6369921227691755,1.0
ENSMUSG00000001504,Irx2,0.0027004071858582365,-5.443130372035151,2.4897891663097892e-26,0.19230047704344597,3.3885538782860993,3.517211680393517e-20,0.061062763753785554,-0.3110800851869646,0.7785391063465984
ENSMUSG00000021604,Irx4,0.0,-1.9902714073213392,0.4612834399249508,0.003101620597474935,3.0511127840274117,0.18286652005217105,0.0,0.22195462349033157,1.0
ENSMUSG00000021606,Ndufs6,8.494805904913548,-0.012229967177146417,1.0,9.321403768944672,0.19307110157103313,0.6870859899057957,7.174874741069803,-0.29988847740755586,0.46913773711781265
ENSMUSG00000021607,Mrpl36,1.6472483833735243,0.27856671365867625,0.32059043573191687,1.3698824305514297,-0.19303038351196417,0.725664277280749,1.3357479571140591,-0.20359202711327395,0.7241832761721406
ENSMUSG00000113346,Eprn,0.0,-2.312199502208701,0.2878125395877202,0.003101620597474935,2.0511127840274117,0.3867668811188804,0.0019082113673057986,1.2219546234903316,0.7585635189924916
ENSMUSG00000021608,Lpcat1,0.8621049940852421,0.27547483209455026,0.34382127970334914,0.7567954257838841,-0.08226951901770435,0.9769334246577389,0.6297097512109135,-0.38033775576874224,0.3819058446831037
ENSMUSG00000021609,Slc6a3,0.0067510179646455915,-1.618302629934381,0.014366928209783318,0.034117826572224286,2.6791440066404553,8.758775931894227e-06,0.0,-3.2374769951469666,0.014674468238279146
ENSMUSG00000021610,Clptm1l,2.960321377497092,0.4049476432803065,0.10367045412896339,2.4006543424455997,-0.16532303863063147,0.79446069841351,1.9311099037134682,-0.5052938912728768,0.1719860118445277
ENSMUSG00000021611,Tert,0.0067510179646455915,0.4691602113159581,0.7006559463413432,0.005169367662458225,-0.06436443339252396,1.0,0.003816422734611597,-0.19308287578851324,0.9453674769405308
ENSMUSG00000021612,Slc6a18,0.0,-0.9902714073213392,1.0,0.0,0.051112784027411706,1.0,0.0019082113673057986,3.2219546234903316,0.36604303800755333
ENSMUSG00000021565,Slc6a19,0.0027004071858582365,-2.312199502208702,0.002575016504701797,0.015508102987374674,1.243757861969808,0.18265416906850965,0.01717390230575219,1.2219546234903316,0.2488785247784251
ENSMUSG00000017756,Slc12a7,0.0479322275489837,-0.8203464058790271,0.01840028829403419,0.05582917075454883,-0.34743659246286196,0.6626323928640407,0.1392994298133233,1.454128065619365,0.00011286918745326372
ENSMUSG00000021567,Nkd2,0.06548487425706224,-0.4630244044564704,0.21971783548577956,0.1013196061841812,0.6036538070561912,0.16267602917710547,0.07060382059031454,-0.14482770718129157,0.9454229047352997
ENSMUSG00000021569,Trip13,0.01687754491161398,0.06631212104502815,1.0,0.017575850052357966,0.17664366611127225,1.0,0.01335747957114059,-0.20431013121176722,0.9209143802298627
ENSMUSG00000057649,Brd9,1.2961954492119536,0.8459080337875633,0.0001542056730044445,0.7071694962242852,-0.7038527206253774,0.01291543671093344,0.7461106446165673,-0.5104031895603313,0.20606755167218507
ENSMUSG00000021573,Tppp,3.9439446949459547,0.23855499913219846,0.4122336229542961,2.8359150996245823,-0.5078545081607992,0.09675390704217852,4.2782098854996,0.28539807112877935,0.43564928470910075
ENSMUSG00000021572,Cep72,0.021603257486865892,-0.6463170061039776,0.22198333443460974,0.025846838312291124,-0.13109054719333635,0.9907685246862337,0.049613495549950766,1.118861130526227,0.04278856939951199
ENSMUSG00000036123,Slc9a3,0.0027004071858582365,0.009728592678660775,1.0,0.00206774706498329,-0.17127963730903595,1.0,0.003816422734611597,0.9995622021538821,0.8491077483300061
ENSMUSG00000034152,Exoc3,1.5527341318684862,0.1707465940087814,0.6046370896735634,1.471202036735611,0.007701426996395977,1.0,1.2098060068718763,-0.3300699524089342,0.4625050306639231
ENSMUSG00000021575,Ahrr,0.007426119761110151,1.0097285926786608,0.34351130695852766,0.00413549412996658,-0.3273988392263174,0.916210468538019,0.0019082113673057986,-0.7780453765096693,0.5906614370564176
ENSMUSG00000021576,Pdcd6,2.355430167864847,0.2308814077172583,0.434371732167218,1.9809016882539918,-0.2012836686827909,0.7016778919952816,2.0551436425883454,-0.10424971029185826,0.9049740055798265
ENSMUSG00000021577,Sdha,6.809751820938009,0.020782681103404865,1.0,7.539005798929075,0.23887716815185334,0.6005483929929996,5.186518496337161,-0.45432540218667095,0.22583177822601636
ENSMUSG00000021578,Ccdc127,1.0754371617680427,0.2387735705314306,0.4282021484826919,0.998721832386929,0.012108706254583664,1.0,0.7499270673511789,-0.47792165194065495,0.2395960617257453
ENSMUSG00000021579,Lrrc14b,0.0006751017964645591,-3.382588830100099,0.0003208769632966775,0.009304861792424806,0.6726011607736826,0.7383486775183592,0.020990325040363786,2.3474855055741894,0.005100014014720367
ENSMUSG00000069184,Zfp72,0.09451425150503828,-0.13612227378479425,0.8011321772593331,0.10648897384663944,0.1590954649004246,0.8714433796424381,0.09922699109990153,0.019137740490644095,1.0
ENSMUSG00000062382,Ftl1-ps1,0.19105380839947025,-0.12129505794725981,0.786262244346534,0.18092786818603787,-0.20026203103464146,0.7900691562885919,0.2576085345862828,0.46706712132686246,0.22254818287626282
ENSMUSG00000113311,Gm47428,0.0027004071858582365,-0.8382683138762896,0.6279257392480194,0.007237114727441515,1.4661502833062556,0.30840212101420567,0.0019082113673057986,-0.3630078772308254,0.9041114893113198
ENSMUSG00000112964,E430024I08Rik,0.01620244311514942,-0.1537701396042186,0.9423138130318405,0.01654197651986632,-0.03134937616456046,1.0,0.020990325040363786,0.449365119593403,0.73266319825237
ENSMUSG00000069208,Zfp825,0.17147585630199802,-0.018285783490935792,1.0,0.18919885644597104,0.20398733327720775,0.7476080605367901,0.1450240639152407,-0.28604589541594105,0.6230068011018567
ENSMUSG00000113019,Gm47467,0.0013502035929291183,0.5946910933998169,0.8060341897309566,0.001033873532491645,0.46615028330625563,1.0,0.0,0.22195462349033157,1.0
ENSMUSG00000113047,Gm47469,0.004725712575251915,0.20237367062105704,0.940549674240253,0.00413549412996658,0.051112784027412594,1.0,0.003816422734611597,0.22195462349033068,1.0
ENSMUSG00000113204,Gm46430,0.11611750899190418,-0.20669487086354366,0.6279257392480194,0.15818265047122168,0.5365396111976546,0.15635209251361948,0.08968593426337254,-0.54181103001959,0.2958508192478959
ENSMUSG00000021583,Erap1,0.11004159282372314,-0.9681097573971806,0.00024588698235032756,0.1974698447059042,0.43150414049936536,0.285490106793505,0.2499756891170596,0.7946735284567403,0.021867725804071782
ENSMUSG00000021585,Cast,0.14447178444341566,-0.5640066526192418,0.054849047618273444,0.18299561525102118,0.04706595096471089,1.0,0.2709660141574234,0.7671161161535123,0.028553994033002232
ENSMUSG00000021587,Pcsk1,0.3470023233827834,0.2204956888954812,0.5135624441526343,0.38977032174935017,0.4284798653402013,0.22742216356678874,0.1278501616094885,-1.491482435179634,0.00010336769295254027
ENSMUSG00000001542,Ell2,0.5684357126231588,0.32397595048439887,0.26164084444307917,0.4052784247367248,-0.4700530661127744,0.19618305660779656,0.5438402396821527,0.11153063379668038,0.8145525133101725
