Feature,Normalized.Dispersion
ENSMUSG00000046994,-0.7556969096434241
ENSMUSG00000025977,nan
ENSMUSG00000038349,7.554908009783915
ENSMUSG00000099950,-1.6780770182311386
ENSMUSG00000100372,nan
ENSMUSG00000038331,6.447461276672346
ENSMUSG00000101429,9.268648133964417
ENSMUSG00000097519,nan
ENSMUSG00000038323,0.34707737815869577
ENSMUSG00000048495,-0.7602089290576968
ENSMUSG00000025971,-1.4202412386191794
ENSMUSG00000038305,0.9232628853871011
ENSMUSG00000054770,0.013027977073007672
ENSMUSG00000026039,0.5805563171617304
ENSMUSG00000063558,0.3254238201187455
ENSMUSG00000064294,2.436942381399338
ENSMUSG00000038242,0.04693106038967339
ENSMUSG00000051223,-0.5300237314894624
ENSMUSG00000026034,-0.29817766507864973
ENSMUSG00000026035,-1.4620642137466218
ENSMUSG00000026036,4.476790269269889
ENSMUSG00000026037,-0.3534652889503499
ENSMUSG00000085054,-1.8320436944659897
ENSMUSG00000038174,0.7473578829118384
ENSMUSG00000026032,-0.5575455699907478
ENSMUSG00000047528,4.823083638262986
ENSMUSG00000026031,0.025567151427307054
ENSMUSG00000026029,-0.5419182039186511
ENSMUSG00000026028,2.487313152928024
ENSMUSG00000026027,-1.6747050748800538
ENSMUSG00000099752,nan
ENSMUSG00000072295,nan
ENSMUSG00000038079,1.4832052807607996
ENSMUSG00000097573,-0.42018036997206326
ENSMUSG00000079550,-0.7279628828906208
ENSMUSG00000026024,0.38376285952488653
ENSMUSG00000026023,2.1326566332293626
ENSMUSG00000041075,4.199450641256586
ENSMUSG00000047361,6.312785745616911
ENSMUSG00000099811,nan
ENSMUSG00000026021,-0.5661216843432956
ENSMUSG00000026020,-0.7304668532122894
ENSMUSG00000067336,-0.23618895764170256
ENSMUSG00000041040,-0.5948706816732859
ENSMUSG00000026018,0.03438447481383557
ENSMUSG00000026019,-1.4486296166640724
ENSMUSG00000026017,0.13851330561911834
ENSMUSG00000073664,4.052108954525697
ENSMUSG00000049439,1.3380324784208468
ENSMUSG00000026782,0.7691369468523845
ENSMUSG00000026014,0.06214337392217609
ENSMUSG00000026012,1.1243473949760328
ENSMUSG00000085965,nan
ENSMUSG00000026011,-0.8856478771328115
ENSMUSG00000026009,-0.6852988752449577
ENSMUSG00000085447,2.6154488610469966
ENSMUSG00000052062,0.43550830589921374
ENSMUSG00000085842,nan
ENSMUSG00000025969,7.9998493457469
ENSMUSG00000100811,0.45418469813189083
ENSMUSG00000100426,-0.8565517293991469
ENSMUSG00000040865,1.1595020945642451
ENSMUSG00000084799,-0.39221911531063486
ENSMUSG00000101599,0.7434393793326517
ENSMUSG00000025968,-0.8310612843045319
ENSMUSG00000025967,-0.07429897782865613
ENSMUSG00000046856,-1.1349118681489518
ENSMUSG00000027520,-0.4197626410838605
ENSMUSG00000025964,1.6231533422541744
ENSMUSG00000115378,1.6490724185382073
ENSMUSG00000069085,nan
ENSMUSG00000025963,-0.77747535215142
ENSMUSG00000025962,-1.494739510498283
ENSMUSG00000025961,-0.8111371858641013
ENSMUSG00000025959,1.2463632851938935
ENSMUSG00000097272,-1.3495532758794913
ENSMUSG00000101895,nan
ENSMUSG00000025958,-0.2389503206211197
ENSMUSG00000025956,-0.803191603978165
ENSMUSG00000070871,0.13419232270917908
ENSMUSG00000045005,12.569226151751709
ENSMUSG00000051344,-0.21137420617353864
ENSMUSG00000070870,-2.0751282545269554
ENSMUSG00000067299,nan
ENSMUSG00000073658,nan
ENSMUSG00000044429,-1.7669298131130922
ENSMUSG00000044816,-1.6262471539095724
ENSMUSG00000025950,1.9667108446499988
ENSMUSG00000025949,0.18925223131277696
ENSMUSG00000025946,-0.03453526209878042
ENSMUSG00000015222,0.35011853827579936
ENSMUSG00000055567,0.0
ENSMUSG00000026005,-1.0908647965466163
ENSMUSG00000026004,-0.9784897186277725
ENSMUSG00000026003,3.0316023072258034
ENSMUSG00000061816,2.450060486175796
ENSMUSG00000026000,0.2719403650806851
ENSMUSG00000025991,0.2464295822037303
ENSMUSG00000062209,1.9492106034229761
ENSMUSG00000100354,nan
ENSMUSG00000101156,nan
ENSMUSG00000025997,2.42963257007797
ENSMUSG00000053153,2.3434320027450335
ENSMUSG00000045648,-1.5136840080414038
ENSMUSG00000026196,-0.396687371179362
ENSMUSG00000050296,-0.7598384425923045
ENSMUSG00000026192,0.3639649380848749
ENSMUSG00000026193,30.436574464229967
ENSMUSG00000073652,0.373564837591049
ENSMUSG00000101848,0.030074154533197027
ENSMUSG00000102123,-0.6014348727098667
ENSMUSG00000039395,0.05131360654982815
ENSMUSG00000097131,0.06438691311275445
ENSMUSG00000026189,-0.9146965512433093
ENSMUSG00000026188,-1.2616410808466878
ENSMUSG00000026187,-0.1342427779584557
ENSMUSG00000039372,-0.7806996370543261
ENSMUSG00000039354,-1.349101926402823
ENSMUSG00000110712,-1.5208104423405737
ENSMUSG00000046330,-0.7825074514306434
ENSMUSG00000039323,133.1345251116801
ENSMUSG00000026185,11.555196850253118
ENSMUSG00000101968,nan
ENSMUSG00000101112,nan
ENSMUSG00000100301,0.050185788120353535
ENSMUSG00000055322,3.813473359006761
ENSMUSG00000061815,nan
ENSMUSG00000026180,1.5383962017359294
ENSMUSG00000048480,8.320036178750748
ENSMUSG00000006304,2.3996048788390523
ENSMUSG00000006299,-0.25986015112205
ENSMUSG00000026179,-0.591231300220113
ENSMUSG00000006301,17.212485388689814
ENSMUSG00000073650,1.700280222964235
ENSMUSG00000026177,0.39513287685301857
ENSMUSG00000026176,3.477409685814384
ENSMUSG00000026175,0.10292901243339794
ENSMUSG00000033364,0.7900745870805791
ENSMUSG00000026174,-1.397335853395872
ENSMUSG00000026173,3.067129245561323
ENSMUSG00000026135,-0.8317868890440334
ENSMUSG00000026172,-1.6060204403274143
ENSMUSG00000026171,-1.1775178459178546
ENSMUSG00000033276,-0.09939258086566373
ENSMUSG00000033257,-1.0267676439197169
ENSMUSG00000026170,1.6060284699072593
ENSMUSG00000006542,nan
ENSMUSG00000033227,7.7013678276811595
ENSMUSG00000099472,-1.8909540901311552
ENSMUSG00000026167,1.6546396596257562
ENSMUSG00000090071,0.7816723202008762
ENSMUSG00000055197,-0.6890609646682125
ENSMUSG00000006546,0.7613337803971392
ENSMUSG00000047021,1.472501509923537
ENSMUSG00000006538,-1.2405365994075948
ENSMUSG00000026162,-0.7285546347777012
ENSMUSG00000026205,-1.557446929505153
ENSMUSG00000033159,5.824006352979814
ENSMUSG00000049339,-0.9841403251362644
ENSMUSG00000026197,-0.26968847637210874
ENSMUSG00000026198,-0.5075171907259449
ENSMUSG00000033124,-0.9142334952677306
ENSMUSG00000026199,-1.4784569367712554
ENSMUSG00000026200,1.9500814624462077
ENSMUSG00000026201,-1.0800510986031038
ENSMUSG00000026202,1.4740987777530064
ENSMUSG00000096094,nan
ENSMUSG00000026203,4.281218535766376
ENSMUSG00000026204,2.0123017678087645
ENSMUSG00000033061,24.23428735187561
ENSMUSG00000026209,9.510612812894559
ENSMUSG00000026208,18.353880708744928
ENSMUSG00000026207,0.5575625604869107
ENSMUSG00000033021,-1.2256195054829955
ENSMUSG00000033007,3.672094678832762
ENSMUSG00000032997,-0.8617517215739593
ENSMUSG00000026211,-1.2663035543718002
ENSMUSG00000051703,1.2458338595546365
ENSMUSG00000032968,-0.5331102575879098
ENSMUSG00000026213,-1.7398211260847447
ENSMUSG00000006576,1.5095002922122238
ENSMUSG00000100553,-1.1787572670257938
ENSMUSG00000100534,4.1975173299790045
ENSMUSG00000026235,4.724222928716519
ENSMUSG00000101849,0.6577935987773702
ENSMUSG00000004872,-0.9018573457948372
ENSMUSG00000032908,4.1136326919181565
ENSMUSG00000026245,-0.6518967566559651
ENSMUSG00000090486,-0.7822658316216178
ENSMUSG00000012187,1.857216360216696
